,hotel_name,price_week_before
143,La Casa Di Amy,"€ 1,074"
144,The Boutique Hotel,"€ 1,972"
145,Best Western Plus Hotel Spring House,"€ 1,845"
146,Hotel Sant'Angelo,"€ 1,402"
147,Hotel Villa San Pio,"€ 1,480"
148,Quiriti Vatican Relais,"€ 1,708"
149,Azzurra Rooms,"€ 1,158"
150,Erreggi Luxury Rooms,"€ 1,531"
151,Flowerome,€ 944
152,Hotel Isa,"€ 2,090"
153,Monti Suites Cavour,"€ 1,170"
154,Hotel dei Consoli Vaticano,"€ 1,529"
155,Hotel Canova,"€ 1,336"
156,MyNavona,"€ 1,730"
157,Martina a Piazza del Popolo,"€ 1,011"
158,Penta Luxury House,"€ 1,086"
159,Trevi 41 Hotel,"€ 1,795"
160,Rome Times Hotel,"€ 2,084"
161,Piccolo Imperiale,"€ 1,019"
162,Hotel Rimini,€ 859
163,Domus Porta Angelica,"€ 1,253"
164,Navona Theatre Hotel,"€ 1,668"
165,Hotel Villafranca,"€ 1,440"
166,The Radical Hotel Roma,"€ 1,719"
167,Casavignoni luxury apartment with terrace,"€ 8,252"
168,H10 Palazzo Galla,"€ 3,280"
169,Hotel Gea Di Vulcano,"€ 1,530"
170,MODO Rooms & Suite Rome,€ 939
171,Donna Margherita Rome Suite & Rooms,€ 939
172,Corso Suite Style,"€ 1,481"
173,Domus Gallo,"€ 1,278"
174,Daplace - La Mongolfiera Rooms in Navona,"€ 1,448"
175,Daplace - La Mongolfiera Rooms in Navona,"€ 1,448"
176,Buonarroti Home,€ 892
177,900 Piazza del Popolo,"€ 2,352"
178,Rifugio degli Artisti B&B,"€ 1,272"
179,Residenza Ki,"€ 1,014"
180,Esposizione Palace Hotel,"€ 1,625"
181,Tmark Hotel Vaticano,"€ 2,790"
182,Nobilcasa Suites,€ 996
183,Elegant Apartment Behind the Colosseum,"€ 2,315"
184,Angelina Dimora Contemporanea,"€ 1,169"
185,AmareRomaRooms,€ 820
186,Albergo Ottocento,"€ 2,122"
187,DC Collection Spagna,"€ 1,973"
188,Popologrande Apartment,"€ 5,366"
189,Relais Virgilio,"€ 1,422"
190,Risorgimento 55,€ 990
191,Palazzo Dama - Preferred Hotels & Resorts,"€ 5,270"
192,The Place 217,"€ 1,981"
193,Hotel Des Artistes,"€ 1,128"
194,Domus Enea - Colosseo Termini,€ 990
195,Hotel Teatro Pace,"€ 1,478"
196,Relais de l'Opera - Relais de l'Opera Group,"€ 1,462"
197,Biancorèroma B&B,"€ 1,398"
198,Coral flat Colosseo,"€ 1,220"
199,Town House 57,€ 959
200,Boutique Hotel Anahi,"€ 1,845"
201,BorgoNove,"€ 1,270"
202,romantica guest house,"€ 1,044"
203,Domus Titiana Amazing Apartment in Trastevere,"€ 1,442"
204,Relais Orso,"€ 2,013"
205,Ottaviano Smart Rooms,"€ 1,068"
206,Residenze Argileto Terra,"€ 1,657"
207,Folia,€ 863
208,Royal Suite Trinità Dei Monti,"€ 2,491"
209,Il Covo B&B,"€ 1,416"
210,VIVILO ROMA TREVI - LUXURY EXPERIENCE - PRIVATE JACUZZI on TERRACE - INSANE VIEW,"€ 7,618"
211,Collection Spanish Steps Apartments - Top Collection,"€ 1,367"
212,AD Suites Tritone,"€ 1,340"
213,Spanish Steps Corner,"€ 1,575"
214,Palma Residence,€ 671
215,Via Veneto Prestige Rooms,"€ 1,802"
216,Rifugio degli Artisti Top B&B,"€ 1,272"
217,Piazza Venezia Grand Suite,"€ 1,714"
218,Al Manthia Hotel - Gruppo Trevi Hotels,"€ 1,709"
219,BB Hotels Smarthotel Bailey's,"€ 1,120"
220,Tourist House B&B,"€ 1,098"
221,Home at Rome Luxury Navona,"€ 5,484"
222,Roof Suite Rome,"€ 20,026"
223,Borgognona Rooms,"€ 3,330"
224,Oca Apartment - Alta Luxury Apartments,"€ 6,638"
225,Dimora ai Fori - Guest House,"€ 2,590"
226,Nights In Rome,€ 828
227,NUMA ROMA GuestHouse,"€ 1,622"
228,Vacanze Romane,€ 624
229,Hotel Piemonte,"€ 1,080"
230,Rome Life Hotel,"€ 2,502"
231,Vatican Town,€ 924
232,Navona Queen Rooftop,"€ 2,638"
233,Chroma Italy - Chroma Octho,"€ 1,200"
234,Elenoire Rooms & Suite,"€ 1,229"
235,La Torre Guest House,"€ 1,120"
236,Federica's Home,€ 912
237,Mecenate Rooms,€ 959
238,Appartamento Privato Simone,€ 957
239,Golfo di Orosei rooms,€ 814
240,Mia Suites,"€ 1,413"
241,Orazio Palace Hotel,"€ 1,937"
242,Restart Accommodations Balestra,"€ 1,349"
243,Rhome86,€ 754
244,Le Suite Downtown,"€ 1,186"
245,Aenea's B&B,€ 725
246,Roma Resort Termini,€ 842
247,Suites by Chloe,"€ 1,651"
248,La Dimora di Piazza Navona,"€ 1,395"
249,Trevi Rome Suite,"€ 1,996"
250,Hotel Teatro Pace,"€ 1,478"
251,Relais de l'Opera - Relais de l'Opera Group,"€ 1,462"
252,Biancorèroma B&B,"€ 1,398"
253,Coral flat Colosseo,"€ 1,220"
254,Town House 57,€ 959
255,Boutique Hotel Anahi,"€ 1,845"
256,Hotel Royal Court,"€ 1,777"
257,BorgoNove,"€ 1,270"
258,Noah Charme,"€ 1,928"
259,romantica guest house,"€ 1,044"
260,Domus Titiana Amazing Apartment in Trastevere,"€ 1,442"
261,Royal Termini,€ 862
262,Relais Orso,"€ 2,013"
263,Ottaviano Smart Rooms,"€ 1,068"
264,Residenze Argileto Terra,"€ 1,657"
265,Folia,€ 863
266,Royal Suite Trinità Dei Monti,"€ 2,491"
267,Il Covo B&B,"€ 1,416"
268,VIVILO ROMA TREVI - LUXURY EXPERIENCE - PRIVATE JACUZZI on TERRACE - INSANE VIEW,"€ 7,618"
269,Hotel White,"€ 2,335"
270,Ariana Luxury Guest House,€ 894
271,Collection Spanish Steps Apartments - Top Collection,"€ 1,367"
272,AD Suites Tritone,"€ 1,340"
273,Spanish Steps Corner,"€ 1,575"
274,Campo dei Fiori Sky Luxury View,"€ 1,987"
275,Navona Central Suites,"€ 1,867"
276,White Ostilia B&B,"€ 1,272"
277,Beyond Colosseum,"€ 1,399"
278,Elizabeth Unique Hotel | a Member of Design Hotels™,"€ 4,139"
279,Relais Colonna,"€ 1,046"
280,Comics Guesthouse Hostel,€ 625
281,The B Place,"€ 1,172"
282,The Spanish Suite Campo de' Fiori,"€ 2,000"
283,Hotel La Place Roma,"€ 2,160"
284,Sweet Holidays In Rome,€ 939
285,HortiSallustio luxury rooms,"€ 1,080"
286,Palazzetto Trevi,"€ 2,551"
287,CENTRO MONTI ROMANTICO BOUTIQUE APPARTAMENTO,"€ 1,484"
288,Parisii Bocca di Leone 88,"€ 1,773"
289,San Anselmo,"€ 1,684"
290,"Residenza Tupini, S.Pietro Suites","€ 1,434"
291,Maison Imperiale,"€ 1,464"
292,Hotel Euro Quiris,€ 656
293,Locanda degli Antiquari,"€ 1,059"
294,Roman Holidays Boutique Hotel,"€ 2,016"
295,Evergreen,€ 870
296,Little Queen Suite,"€ 1,603"
297,The Liberty Boutique Hotel,"€ 2,443"
298,Rent in Rome Trevi Fountain Suite,€ 997
299,Hotel RomAntica,"€ 1,160"
300,Restart Accommodations Rome,"€ 1,997"
301,Budget Rooms Des Artistes,€ 713
302,Grand Hotel Palace Rome,"€ 2,793"
303,Rhinoceros,"€ 3,419"
304,Stradivari Suite Roma,"€ 1,270"
305,Cinema House,€ 823
306,DOM Hotel Roma - Preferred Hotels & Resorts,"€ 4,202"
307,Borghese Contemporary Hotel,"€ 3,784"
308,Viminale View Hotel,"€ 1,406"
309,La Residenza,"€ 2,321"
310,Guest House Querini,"€ 1,110"
311,Madison Hotel,€ 988
312,Hotel Del Corso,"€ 1,341"
313,Residenza Cavallini,"€ 2,402"
314,Hotel Medici,"€ 1,044"
315,Pura Vida,€ 936
316,Muzio 48 Private Suites by Premium Suites Collection,"€ 1,332"
317,Hotel Homs,"€ 1,584"
318,Hotel Splendide Royal - The Leading Hotels of the World,"€ 5,213"
319,Abagnale Home Montecitorio,"€ 1,387"
320,Deko Rome,"€ 1,598"
321,Calisto 3,€ 992
322,Trastevere Sweet Dream,"€ 1,164"
323,La Foresteria Luxury Suites,"€ 1,415"
324,Good Life Monti,"€ 1,561"
325,Domus Ester,€ 863
326,Gemme Di Roma Accomodation,"€ 1,672"
327,U-Visionary Roma Hotel,"€ 3,314"
328,Hotel 55 Fifty-Five - Maison d'Art Collection,"€ 1,610"
329,Luxury on the River,"€ 1,139"
330,Trevi Romantic Alcova,"€ 1,530"
331,Hotel Diocleziano,"€ 1,501"
332,A World Aparts - Barberini Boutique Hotel,"€ 1,796"
333,Navona Living Rome,"€ 1,616"
334,Roman Nights,€ 991
335,Hotel Mascagni,"€ 2,174"
336,Merulana Star,€ 890
337,Babuino Palace&Suites,"€ 2,360"
338,Sonnino Suite,"€ 1,219"
339,Il Fascino Di Roma,"€ 1,028"
340,LISA VATICAN ROOMS,"€ 1,044"
341,SM Mellini Relais B&B,"€ 1,898"
342,All You Need is Rome Guesthouse,"€ 1,031"
343,Ripetta Relais,"€ 1,444"
344,Flower Garden Hotel,"€ 1,412"
345,Cesare ai Cavalieri Suites,"€ 1,734"
346,Palazzo Ripetta,"€ 5,697"
347,citizenM Rome Isola Tiberina,"€ 2,570"
348,numa I Portico,"€ 1,402"
349,Campo Marzio Charming B&B,"€ 1,455"
350,Abagnale Home Montecitorio,"€ 1,387"
351,Deko Rome,"€ 1,598"
352,Calisto 3,€ 992
353,Trastevere Sweet Dream,"€ 1,164"
354,La Foresteria Luxury Suites,"€ 1,415"
355,Good Life Monti,"€ 1,561"
356,Domus Ester,€ 863
357,Gemme Di Roma Accomodation,"€ 1,672"
358,U-Visionary Roma Hotel,"€ 3,314"
359,Hotel 55 Fifty-Five - Maison d'Art Collection,"€ 1,610"
360,Roma Art Rooms,€ 820
361,Luxury on the River,"€ 1,139"
362,Trevi Romantic Alcova,"€ 1,530"
363,Hotel Diocleziano,"€ 1,501"
364,A World Aparts - Barberini Boutique Hotel,"€ 1,796"
365,Navona Living Rome,"€ 1,616"
366,Roman Nights,€ 991
367,Hotel Mascagni,"€ 2,174"
368,Merulana Star,€ 890
369,Babuino Palace&Suites,"€ 2,360"
370,Sonnino Suite,"€ 1,219"
371,Il Fascino Di Roma,"€ 1,028"
372,LISA VATICAN ROOMS,"€ 1,044"
373,SM Mellini Relais B&B,"€ 1,898"
374,All You Need is Rome Guesthouse,"€ 1,031"
375,Chapter Roma,"€ 2,786"
376,Hotel Silla,€ 894
377,Hotel Gioberti,"€ 1,748"
378,Bettoja Hotel Atlantico,"€ 1,665"
379,Màs Boutique Hotel Rome,"€ 3,153"
380,Esposizione Boutique,"€ 1,842"
381,Pantheon Delightful Apartment,"€ 1,534"
382,AT 41,"€ 1,520"
383,Four Rivers Suites,"€ 1,638"
384,Sun Suite Luxury Pantheon,"€ 1,897"
385,Germanico Maxi,"€ 1,452"
386,Imperial Relais,"€ 1,464"
387,YellowSquare Rome,"€ 1,172"
388,Cardilli Luxury Rooms,"€ 1,457"
389,Vatican Palace Suites by Premium Suites Collection,"€ 1,272"
390,Duca d'Alba Hotel - Chateaux & Hotels Collection,"€ 1,767"
391,Design&Art Pie',"€ 1,574"
392,Hotel Fiori,"€ 1,426"
393,Hotel Fontana,"€ 1,674"
394,Il Monastero Collection,"€ 1,622"
395,Vaticano 38 Suites,"€ 1,272"
396,Hotel Concordia,"€ 1,606"
397,Cavour Luxury Rooms,"€ 1,936"
398,Spagna Boutique,"€ 1,140"
399,Hotel City Palazzo Dei Cardinali,"€ 1,498"
400,The Independent Hotel,"€ 1,956"
401,"Hotel Indigo Rome - St. George, an IHG Hotel","€ 3,174"
402,Loft Campo de' Fiori - Appartamento Campo de' Fiori - LE CUGINE,"€ 1,160"
403,Maison Degli Artisti Suites,"€ 1,655"
404,APPARTAMENTO CON TERRAZZINO AL PANTHEON,"€ 1,229"
405,Piazza Cavour Suite,"€ 1,404"
406,Maison Candia Luxury House,"€ 1,297"
407,Casa Sotgiu Guest House,"€ 1,044"
408,Viale Giulio Cesare Guest House,€ 972
409,D.R.Rome Spanish Luxury Suites,"€ 1,304"
410,TB Place Roma,"€ 4,276"
411,Maisonette al Colosseo,€ 936
412,2 Be Home Colosseo,"€ 1,002"
413,Duelle Vatican Suite,€ 889
414,iQ Hotel Roma,"€ 2,048"
415,Trinità Grand Suite,"€ 1,884"
416,Gonfalone 6,"€ 1,290"
417,Black And White Suite,"€ 1,453"
418,Monti Apartments - My Extra Home,"€ 1,684"
419,Spagna Royal Suite,"€ 2,088"
420,Residenza Spada,"€ 1,388"
421,59 Steps Trevi,"€ 1,303"
422,La Dolce Vita Boutique Guest House,"€ 1,897"
423,Guest House Relais Indipendenza,€ 954
424,Bramble Luxury Suites,"€ 1,797"
425,Gioberti Art Hotel,"€ 1,748"
426,Il Corso Suite,"€ 1,464"
427,Giulia's Nidus,€ 880
428,Grottino - Campo de' Fiori,"€ 1,095"
429,La Cupola del Vaticano,"€ 1,418"
430,Hotel Borromeo,"€ 1,709"
431,Le Meridien Visconti Rome,"€ 3,238"
432,GladiatoRooms Rome - Colosseo,"€ 1,137"
433,Lea Luxury Rooms,"€ 1,670"
434,Lifestyle Veneto Suite,"€ 1,920"
435,Imperial Rhome Guest House,"€ 2,757"
436,Boutique Rome Inn,"€ 1,564"
437,Sweethome Crispi,"€ 2,139"
