,hotel_name,price_week_before
134,Hesperia Barcelona Del Mar,"€ 1,192"
135,Catalonia Diagonal Centro,"€ 1,199"
136,BCN Rambla Catalunya Apartments,"€ 1,663"
137,Acta Antibes,€ 932
138,08028 Apartments,€ 910
139,ClassBedroom Barcelona Beach Apartments,€ 981
140,Grums Hotel & Spa,"€ 1,215"
141,Catalonia Barcelona Plaza,"€ 1,679"
142,Mercedes Heritage Apartments,"€ 1,829"
143,Casa Lolita,"€ 1,135"
144,H10 Casa Mimosa 4* Sup,"€ 2,399"
145,Apartment Eixample Dret Valencia - Cartagena by Interhome,"€ 1,137"
146,Yomo Hostal BCN Port,€ 842
147,The Conica Deluxe Bed&Breakfast,"€ 1,294"
148,You Stylish Diagonal Apartments,"€ 1,606"
149,Generator Barcelona,"€ 1,184"
150,Cami Gallery Barcelona,"€ 1,080"
151,Arc La Rambla,"€ 1,298"
152,Hotel Sagrada Familia,€ 856
153,Ilunion Bel-Art,"€ 1,307"
154,"Hotel Balmes, a member of Preferred Hotels & Resorts","€ 1,527"
155,"Claris Hotel & Spa GL, a Small Luxury Hotel of the World","€ 1,925"
156,Andante Hotel,"€ 1,323"
157,Garbi Millenni,"€ 1,079"
158,Hotel Viladomat by Silken,"€ 1,310"
159,Aparthotel Atenea Calabria,"€ 1,562"
160,Barcelona Centric,€ 770
161,Abba Garden,€ 799
162,Aparthotel Bertrán,€ 965
163,Inside Barcelona Apartments Sants,€ 994
164,Barcelona4Seasons - Miro,"€ 1,164"
165,BUHO Boutique Rooms,"€ 1,051"
166,H10 Cubik 4* Sup,"€ 1,779"
167,MH Apartments Suites,"€ 1,450"
168,Cram Hotel,"€ 1,361"
169,"Holiday Inn Express Barcelona City 22@, an IHG Hotel","€ 1,193"
170,MH Apartments S. Familia,"€ 1,510"
171,Barcelona Century Hotel,"€ 1,111"
172,Barceló Raval,"€ 1,355"
173,Hotel Suizo,"€ 1,262"
174,BruStar Gotic-Centric,€ 908
175,Casa Elliot by Bondia Hotel Group,"€ 1,610"
176,Hostal Sans,€ 700
177,Yurbban Ramblas Boutique Hotel,"€ 2,052"
178,Vincci Mae,"€ 1,915"
179,Charmsuites Nou Rambla,"€ 1,206"
180,Leonardo Royal Hotel Barcelona Fira,"€ 1,026"
181,Hotel Serhs del Port,"€ 1,124"
182,Des Artistes,€ 710
183,RAMBLA BEACH Barcelonastuff Apartments,"€ 2,501"
184,Hilton Diagonal Mar Barcelona,"€ 1,512"
185,MH Apartments Gracia,"€ 1,790"
186,MH Apartments Ramblas,"€ 1,840"
187,Hotel Rec Barcelona - Adults Only,"€ 1,378"
188,Rosello 2,€ 890
189,Ohla Barcelona,"€ 2,685"
190,Acta BCN 40,"€ 1,159"
191,Ilunion Auditori,"€ 1,310"
192,Zenit Barcelona,"€ 1,189"
193,Leonardo Hotel Barcelona Las Ramblas,"€ 1,065"
194,Colón Hotel Barcelona,"€ 2,519"
195,Wilson Boutique Hotel,"€ 1,964"
196,Ilunion Barcelona,"€ 2,099"
197,htop BCN City #htopEnjoy,€ 833
198,H10 Art Gallery 4* Sup,"€ 1,899"
199,Hilton Barcelona,"€ 2,978"
200,Chi,"€ 1,419"
201,Hostel New York,€ 683
202,"Casa Consell Gran Via, Guest House","€ 1,333"
203,Casa Lit Barcelona by Ona,"€ 1,292"
204,Hotel Market,"€ 1,784"
205,Key Barcelona HOUSING (Carrer Girona),"€ 2,692"
206,Hotel Brummell,"€ 1,575"
207,Hotel Lugano Barcelona,"€ 1,124"
208,Hotel Best Aranea,"€ 1,050"
209,Be Barcelona Eixample Urquinaona II,"€ 1,214"
210,Acta Splendid,"€ 1,255"
211,Catalonia Plaza Catalunya,"€ 1,589"
212,Gran Hotel La Florida G.L Monumento,"€ 1,958"
213,Royal Ramblas,"€ 1,713"
214,AC Hotel Diagonal L'Illa by Marriott,"€ 1,658"
215,Provenza Flat,"€ 1,746"
216,BCN Urbaness Hotels Del Comte,"€ 1,761"
217,You Stylish City Center Apartments,"€ 2,231"
218,Sunotel Club Central,"€ 1,284"
219,NH Collection Barcelona Podium,"€ 1,887"
220,You Stylish Beach Apartments,"€ 2,244"
221,"Sunny flat,near ramblas,wifi incl.","€ 1,027"
222,Acta CITY47,"€ 1,456"
223,"Radisson Blu 1882 Hotel, Barcelona Sagrada Familia","€ 1,944"
224,Dream Gracia Apartments,"€ 1,401"
225,Hotel Soho,"€ 1,184"
226,Paral·lel,"€ 1,032"
227,BcnStop Parc Güell,"€ 1,167"
228,Hostal Central Barcelona,"€ 1,312"
229,Apartment Gràcia- Parc Güell by Interhome,€ 902
230,Hotel Nouvel,"€ 1,303"
231,Catalonia Castellnou,€ 970
232,Jardinets De Gràcia by The 5ve Soul,"€ 1,530"
233,Barcelona Apartment Villarroel,"€ 1,757"
234,El Alma de las Ramblas,"€ 1,533"
235,Ilunion Almirante,"€ 1,787"
236,Victoria Diagonal Mar Barcelona,"€ 2,430"
237,Rambla 102,"€ 2,116"
238,Aspasios Urquinaona Design,"€ 1,783"
239,Casa Lirio,"€ 1,316"
240,Hotel Arts Barcelona,"€ 4,549"
241,The Barcelona EDITION,"€ 3,785"
242,Niu Barcelona Hotel,"€ 1,288"
243,Hesperia Barcelona Presidente,"€ 1,359"
244,Urbany Hostel BCN GO!,€ 805
245,Hotel Barcelona Universal,"€ 1,144"
246,Lodging Apartments Sagrada Familia,"€ 1,186"
247,Acta Atrium Palace,"€ 1,461"
248,Hotel Well and Come,"€ 1,903"
249,Vincci Bit,"€ 1,866"
250,Hotel Cantón,"€ 2,766"
251,Serennia Apartamentos Ramblas - Plaça Catalunya,"€ 2,091"
252,Hotel Cortes Rambla,"€ 1,094"
253,Hotel Vilamarí,"€ 1,187"
254,Ola Living MACBA,"€ 1,537"
255,Novotel Barcelona City,"€ 1,217"
256,Evenia Rocafort,"€ 1,053"
257,BYPILLOW Ramblas,"€ 1,157"
258,Barcelona Apartment Republica,"€ 1,680"
259,Bcn Paseo De Gracia Rocamora Apartment,"€ 2,235"
260,"Cotton House Hotel, Autograph Collection","€ 3,867"
261,Hotel America Barcelona,"€ 1,322"
262,Hostal Balkonis,€ 892
263,Bright apartment close to congress center & port,€ 829
264,"Grand Hotel Central, Small Luxury Hotels","€ 2,711"
265,NH Barcelona Entenza,"€ 1,008"
266,Hostal Mayerling Centro,"€ 1,055"
267,Catalonia Ramblas 4* Sup,"€ 1,659"
268,Hotel SB Glow Sup,"€ 1,680"
269,Barcelona Apartment Milà,"€ 1,841"
270,Aparthotel Allada 3*,"€ 1,620"
271,Som Nit Port Vell,"€ 1,393"
272,Àmfores Boutique Guest House,"€ 1,192"
273,BBarcelona Central Boutique Apartments,"€ 1,536"
274,Montserrat Apartments by gaiarooms,"€ 1,534"
275,Ola Living Hostal Diagonal,€ 973
276,Apartment Poblenou by Interhome,"€ 1,305"
277,Hostal Las Flores Ramblas,"€ 1,102"
278,U232 Hotel,"€ 1,193"
279,Hostal Lleida,€ 950
280,Unique premium suite with sunset terrace in Born neighborhood,"€ 1,253"
281,Hostal Bejar,€ 914
282,Acevi Villarroel,"€ 1,029"
283,Dalia Ramblas,"€ 1,058"
284,Catalonia Square 4* Sup,"€ 1,809"
285,Fisa Rentals Ramblas Apartments,"€ 1,240"
286,Diagonal House Hostel,€ 628
287,Gallery Hotel,"€ 1,925"
288,Silken Ramblas,"€ 1,499"
289,Fabrizzio's Petit,"€ 1,171"
290,Cien,"€ 1,209"
291,"Hotel Granados 83, a Member of Design Hotels","€ 1,578"
292,Axel Hotel Barcelona & Urban Spa- Adults Only,"€ 1,533"
293,Som Nit Born,"€ 1,259"
294,Grupotel Gravina,"€ 1,204"
295,Aparthotel Augusta,"€ 1,522"
296,Catalonia Albeniz,"€ 1,070"
297,LetsGo Paseo de Gracia,"€ 2,330"
298,Inside Barcelona Apartments Princep,"€ 1,578"
299,Melia Barcelona Sky 4* Sup,"€ 1,607"
300,Aparthotel Silver,€ 995
301,Leonardo Hotel Barcelona Gran Via,"€ 1,057"
302,Leonardo Hotel Barcelona Gran Via,"€ 1,057"
303,W Barcelona,"€ 2,615"
304,"Via Sants Hotel Barcelona, Tapestry Collection By Hilton","€ 1,931"
305,Ocean Drive Barcelona,"€ 2,189"
306,Pol & Grace Hotel,"€ 1,756"
307,Pierre & Vacances Barcelona Sants,"€ 1,007"
308,Hostal Girona,"€ 1,155"
309,Fisa Rentals Les Corts Apartments,"€ 1,284"
310,ITC Barcelona By Soho Boutique,"€ 1,202"
311,BYPILLOW Wander,"€ 1,063"
312,INNSiDE by Meliá Barcelona Apolo,"€ 1,876"
313,Hotel Serhs Carlit,"€ 1,096"
314,Lodging Apartments Liceu G1,"€ 2,282"
315,"Hotel Gran Derby Suites, a Small Luxury Hotel of the World","€ 1,444"
316,Praktik Garden,"€ 1,196"
317,BBarcelona Còrsega Flats,"€ 1,486"
318,Hostal Aslyp 114,"€ 1,013"
319,Aparthotel Mariano Cubi Barcelona,"€ 1,298"
320,Yurbban Passage Hotel & Spa,"€ 2,399"
321,Arrivo Apartments,"€ 1,758"
322,Suitur apartamento floridablanca barcelona,"€ 1,074"
323,Best Western Premier Hotel Dante,"€ 1,410"
324,Youth Hostel - Central and Basic Universitat,€ 713
325,AC Hotel Barcelona Fórum by Marriott,"€ 1,388"
326,Praktik Bakery,"€ 1,256"
327,Ramblas Apartments,"€ 5,417"
328,Sercotel Hotel Rosellon,"€ 1,580"
329,Barcelona4Seasons - Sagrada Familia,"€ 1,718"
330,My Address in Barcelona Old Town,"€ 1,509"
331,Catalonia La Maquinista,€ 854
332,The One Barcelona GL,"€ 2,505"
333,Hotel Turin Barcelona,"€ 1,201"
334,Grupotel Gran Via 678,"€ 1,439"
335,"Torre Melina, a Gran Meliá Hotel","€ 2,663"
336,Oriente Atiram,"€ 1,219"
337,"InterContinental Barcelona, an IHG Hotel","€ 2,378"
338,APTBCN Super Balmes Guest House,€ 711
339,En el Corazón de Barcelona,"€ 1,843"
340,"Hotel SOFIA Barcelona, in The Unbound Collection by Hyatt","€ 2,745"
341,Alma Barcelona GL,"€ 3,483"
342,Hotel Nuevo Triunfo,"€ 1,212"
343,Som Nit Triomf,"€ 1,122"
344,Hotel Lyon,€ 992
345,Cosmopolitan Boutique Rambla,"€ 1,308"
346,Barcelona Apartment Gran de Gràcia,"€ 1,739"
347,Seventy Barcelona,"€ 1,873"
348,Hotel Casa Gardenia,€ 964
349,Hotel Miramar Barcelona GL,"€ 1,845"
350,Centric Apartments Paseo de Gracia,"€ 2,024"
351,Hotel Casa Sagnier,"€ 2,277"
352,Eric Vökel Boutique Apartments - Gran Vía Suites,"€ 1,795"
353,Amister Apartments,"€ 2,260"
354,Attica 21 Barcelona Mar,"€ 1,162"
355,Espais Blaus Apartments,"€ 1,780"
356,Aspasios Rambla Catalunya Suites,"€ 1,718"
357,Hotel Serhs Rivoli Rambla,"€ 1,148"
358,Violeta Boutique,"€ 2,336"
359,Aspasios Plaza Real Apartments,"€ 1,470"
360,RAMBLAS HOTEL powered by Vincci Hoteles,"€ 1,922"
361,BYPILLOW House,€ 916
362,Hostal Benidorm,€ 955
363,LEPANTO APARTMENTS 150m FROM SAGRADA FAMILIA,"€ 1,363"
364,Green House Hotel,€ 917
