,hotel_name,price_week_before
132,Abba Garden,€ 758
133,AC Hotel Barcelona Fórum by Marriott,"€ 1,340"
134,Blanc Guest House,€ 956
135,Catalonia Port,"€ 1,873"
136,Rambla 102,"€ 2,256"
137,Victoria Diagonal Mar Barcelona,"€ 2,448"
138,Happy Apartments,"€ 2,106"
139,Ilunion Les Corts Spa,"€ 1,638"
140,Hotel Serhs Rivoli Rambla,"€ 1,292"
141,Aparthotel Allada 3*,"€ 1,620"
142,Petit Palace Boqueria Garden,"€ 1,941"
143,Serennia Apartamentos Ramblas - Plaça Catalunya,"€ 2,516"
144,Hostal Dragonflybcn,€ 700
145,Suite Place Barcelona Còrsega,"€ 1,842"
146,Hostal Operaramblas,"€ 1,095"
147,Sixtytwo Hotel,"€ 3,216"
148,Lodging Apartments Sagrada Familia,"€ 1,745"
149,Hilton Diagonal Mar Barcelona,"€ 1,512"
150,NH Barcelona Diagonal Center,"€ 1,126"
151,LetsGo Paseo de Gracia,"€ 2,330"
152,Barcelona Apartment Gran de Gràcia,"€ 1,739"
153,Alma Barcelona GL,"€ 3,663"
154,Amister Apartments,"€ 2,260"
155,Apartments Sixtyfour,"€ 4,149"
156,Blue Barcelona,"€ 1,609"
157,Fewdays Barcelona Apartments,"€ 2,056"
158,Acta BCN 40,"€ 1,159"
159,You Stylish Beach Apartments,"€ 2,244"
160,Barcelona Apartment Villarroel,"€ 1,841"
161,Hilton Barcelona,"€ 2,919"
162,BCN Urbaness Hotels Del Comte,"€ 1,761"
163,Residencia Universitaria Campus del Mar,€ 986
164,Suites Center Barcelona,"€ 3,264"
165,You Stylish El Born Apartments,"€ 3,141"
166,Casp 74 Apartments,"€ 2,846"
167,Andante Hotel,"€ 1,342"
168,"Radisson Blu 1882 Hotel, Barcelona Sagrada Familia","€ 1,962"
169,Violeta Boutique,"€ 2,590"
170,Key Barcelona HOUSING (Carrer Girona),"€ 2,827"
171,Ciutadella Park Born,"€ 3,101"
172,"Cotton House Hotel, Autograph Collection","€ 3,867"
173,Lodging Apartments Liceu G1,"€ 2,283"
174,Mihlton Barcelona Boutique B&B,"€ 1,115"
175,Hostal Balkonis,€ 892
176,Centric Apartments Paseo de Gracia,"€ 3,574"
177,Central Suites Barcelona,"€ 3,937"
178,Aparthotel Bcn Montjuic,"€ 1,160"
179,Enjoy Apartments Borrell,"€ 3,290"
180,BizFlats Eixample Apartments,"€ 2,448"
181,Hotel Arts Barcelona,"€ 8,356"
182,08028 Apartments,"€ 1,029"
183,Four Petals Barcelona Boutique Apartments,"€ 2,583"
184,Laramond Barcelona Rooms,€ 910
185,Rooms Sepulveda,€ 526
186,APTBCN Super Balmes Guest House,€ 714
187,Dalia Ramblas,"€ 1,065"
188,Park Hotel,"€ 1,223"
189,Hotel Best Front Maritim,€ 967
190,Hotel Sagrada Familia,€ 990
191,Aparthotel Bertrán,"€ 1,067"
192,"Holiday Inn Express Barcelona City 22@, an IHG Hotel","€ 1,125"
193,Habitaciones Rambla Catalunya,€ 510
194,Inside Barcelona Apartments Sants,"€ 1,038"
195,Rooms Nueva Valencia,€ 530
196,Fisa Rentals Ramblas Apartments,"€ 1,240"
197,Leonardo Hotel Barcelona Las Ramblas,"€ 1,140"
198,Ciudad Condal Hostal - Paseo de Gracia,€ 996
199,Acta Splendid,"€ 1,255"
200,Cram Hotel,"€ 1,379"
201,BYPILLOW Wander,"€ 1,063"
202,Catalonia Castellnou,€ 970
203,Habitación triple/Ramblas,€ 708
204,1881 Barcelona Gran Rosellon Hotel,"€ 1,160"
205,Hotel Lloret Ramblas,"€ 1,215"
206,Plaza Goya Rooms,"€ 1,048"
207,Hostal Benidorm,"€ 1,056"
208,Hotel America Barcelona,"€ 1,463"
209,Hotel Villa Emilia,"€ 1,373"
210,Silken Sant Gervasi,"€ 1,073"
211,Atenea Rekord Suites,"€ 1,143"
212,Mesón Castilla Atiram Hotels,"€ 1,174"
213,Des Artistes,€ 710
214,Habitaciones Viladomat,€ 506
215,Inside Barcelona Apartments Esparteria,"€ 1,319"
216,Hostal Aslyp 114,"€ 1,121"
217,Novotel Barcelona City,"€ 1,427"
218,Fisa Rentals Gran Via Apartments,"€ 1,440"
219,BYPILLOW House,€ 934
220,Hostal River,€ 510
221,Oriente Atiram,"€ 1,241"
222,Boutique Apartments 23 Barcelona,"€ 1,377"
223,Paral·lel,"€ 1,141"
224,Grums Hotel & Spa,"€ 1,368"
225,BUHO Boutique Rooms,"€ 1,184"
226,Onix Liceo,"€ 1,233"
227,Occidental Atenea Mar - Adults Only,"€ 1,351"
228,Eurohotel Diagonal Port,"€ 1,352"
229,Apartment Gràcia- Parc Güell by Interhome,€ 903
230,Pensión San Ramón,€ 640
231,Serhs Carlit Boutique Hotel,"€ 1,228"
232,Negresco Princess 4* Sup,"€ 1,490"
233,Guitart Grand Passage,"€ 1,418"
234,Hotel Nouvel,"€ 1,308"
235,Hotel Cortes Rambla,"€ 1,197"
236,Room Mate Anna,"€ 1,530"
237,Acta Atrium Palace,"€ 1,461"
238,Habitaciones acogedoras,€ 546
239,apartamento centric,"€ 1,046"
240,SM Hotel Sant Antoni,"€ 1,006"
241,Niu Barcelona Hotel,"€ 1,312"
242,Sunotel Junior,€ 905
243,Leonardo Royal Hotel Barcelona Fira,"€ 1,352"
244,Onix Rambla,"€ 1,223"
245,Barceló Raval,"€ 1,436"
246,Allegro Barcelona,"€ 1,328"
247,Iberostar Selection Paseo de Gracia 4 Sup,"€ 1,865"
248,Pestana Arena Barcelona,"€ 1,349"
249,Hotel Constanza,"€ 1,328"
250,"Hotel Indigo Barcelona Granvia Plaza Espana, an IHG Hotel","€ 1,427"
251,Flor Habitaciones,€ 530
252,El Avenida Palace,"€ 1,626"
253,Rooms Nuevo Roger,€ 470
254,U232 Hotel,"€ 1,319"
255,Casa Lit Barcelona by Ona,"€ 1,292"
256,Nice apartment BCN two rooms wifi,€ 660
257,Àmfores Boutique Guest House,"€ 1,192"
258,Acevi Villarroel,"€ 1,044"
259,Barcelona Century Hotel,"€ 1,229"
260,Youth Hostel - Central and Basic Universitat,€ 787
261,Casa Gracia,"€ 1,057"
262,Hostel New York,€ 683
263,Grupotel Gravina,"€ 1,204"
264,Occidental Diagonal 414,"€ 1,387"
265,Occidental Barcelona 1929,"€ 1,437"
266,Majestic Hotel & Spa Barcelona GL,"€ 2,246"
267,Pierre & Vacances Barcelona Sants,"€ 1,062"
268,Ciutat de Barcelona,"€ 1,346"
269,ArtlifeBCN Urban Oasis Apartment,"€ 3,989"
270,Barcelona Princess,"€ 1,313"
271,Room Mate Pau,"€ 1,514"
272,"Labtwentytwo Barcelona, a Tribute Portfolio Hotel","€ 1,587"
273,"Hotel SOFIA Barcelona, in The Unbound Collection by Hyatt","€ 1,862"
274,Hotel Soho,"€ 1,328"
275,NH Barcelona Eixample,"€ 1,359"
276,Hotel Ramblas Internacional,"€ 1,346"
277,Hotel Serhs del Port,"€ 1,258"
278,Hotel Vilamarí,"€ 1,187"
279,Garbi Millenni,"€ 1,097"
280,Onix Fira,"€ 1,193"
281,Leonardo Boutique Hotel Barcelona Sagrada Familia,"€ 1,358"
282,Cien,"€ 1,395"
283,Hotel Barcelona Condal Mar Affiliated by Meliá,"€ 1,414"
284,Hotel Brick Barcelona,"€ 1,229"
285,Hotel Acta Azul Barcelona,"€ 1,179"
286,Lugaris Beach Apartments,"€ 1,645"
287,Barcelona Fifteen central Aparthotel,"€ 1,144"
288,Hesperia Barcelona Presidente,"€ 1,500"
289,Hotel Omnium,"€ 1,606"
290,Acta CITY47,"€ 1,456"
